Id,CreatedDate,SystemModstamp,FirstName,LastName,Email,Phone,MobilePhone,Property__c,PropertyName__c,LeadSource,AccountId,OwnerId,IsDeleted,LastModifiedDate,DoNotCall,HasOptedOutOfEmail
003S9GT0R0VIP35T54,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Matthew,Young,matthew.young108@outlook.com,(614) 783-3463,,PROP00001,Grand Walk,Web,00123RXU6UG3WLBJ2A,0051X7F64U7FX71GL4,False,2026-04-09T00:00:00.000+0000,False,False
003GQHPZHUUG4BGF86,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Christopher,Garcia,christopher.garcia594@hotmail.com,(731) 448-3140,,PROP00002,Grand Crossing,Zillow,001BLA7WDVYZVBTCS6,005PPS2LVA0CVHEJRL,False,2026-04-09T00:00:00.000+0000,False,False
003LCAUDF9M13OTESU,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Anthony,Robinson,anthony.robinson108@yahoo.com,(534) 837-4026,,PROP00003,The Grove at Square,Web,0017MLT470AZ77SXGD,005E78W3OH8EIUQM85,False,2026-04-09T00:00:00.000+0000,False,False
0036DMJLXDW0YCYRNZ,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Stephanie,Moore,stephanie.moore421@gmail.com,(534) 646-5294,,PROP00003,The Grove at Square,Apartments.com,001CELW53892EQAV1C,005LSBX6YMVMRPVZV4,False,2026-04-09T00:00:00.000+0000,False,False
003OJTBPGT9967ST8L,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Daniel,Jones,daniel.jones616@gmail.com,(345) 536-5832,,PROP00004,The Heights,Web,00123XGYBOVSK5OJ74,0052CNZ6HK7HP02M2W,False,2026-04-09T00:00:00.000+0000,False,False
003KRS51ZEQWF1VVWU,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Stephanie,Walker,stephanie.walker765@gmail.com,(717) 544-2868,,PROP00006,The District at Commons,Apartments.com,001DUDI2LYI3JUP6Z9,005366QA9SP62G9NGE,False,2026-04-09T00:00:00.000+0000,False,False
003HRC4HM08OPEVHTZ,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Daniel,Lee,daniel.lee567@yahoo.com,(233) 583-3879,,PROP00007,The Pointe,Web,001SLV789YRVIDIJ6J,0051XH607CJ71QLBO3,False,2026-04-09T00:00:00.000+0000,False,False
003A8VI5WL0JD0I2V4,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,David,Taylor,david.taylor487@yahoo.com,(790) 312-1181,,PROP00008,Grand Landing,Apartments.com,001LSE7N1NWKGPGVSS,005BIN9NS4GEW4YN6G,False,2026-04-09T00:00:00.000+0000,False,False
003LMRNUZA1G6AP8UB,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Patricia,Lopez,patricia.lopez323@icloud.com,(488) 798-1471,,PROP00011,Grand Walk,Social Media,001S2QWSNXP7VRKIKW,005Z0TB87CTFLRSONE,False,2026-04-09T00:00:00.000+0000,False,False
003Q2H5CFGK7H3I8NO,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,William,Robinson,william.robinson142@gmail.com,(334) 789-2806,,PROP00012,Residences at Square,Apartments.com,001SY8R88UL9AACHTG,005A4QN1F0KYU4WKOR,False,2026-04-09T00:00:00.000+0000,False,False
0037Y8AUBPM9DBEZA9,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lisa,Rodriguez,lisa.rodriguez542@yahoo.com,(767) 932-6735,,PROP00013,The Crossing,Zillow,001V3YCLAKY4DIM6M1,005OYMIBMKOS7055ZA,False,2026-04-09T00:00:00.000+0000,False,False
003XXSYKQVOX2N5ZAN,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Matthew,Hernandez,matthew.hernandez886@outlook.com,(331) 202-4079,,PROP00014,Loft at Commons,Zillow,0016T0JXYTMW2YL097,005673BL7KYVDMO90I,False,2026-04-09T00:00:00.000+0000,False,False
