Id,CreatedDate,SystemModstamp,FirstName,LastName,Email,Phone,MobilePhone,LeadSource,Status,IsConverted,ConvertedDate,ConvertedOpportunityId,Property__c,PropertyName__c,PropertyState__c,Campaign__c,CampaignName__c,UTM_Source__c,UTM_Medium__c,NumberOfEmployees,AnnualRevenue,OwnerId,IsDeleted,LastActivityDate,Description
00Q760RS6C4X56V3DG,2026-04-02T07:11:00.000+0000,2026-04-02T07:11:00.000+0000,Matthew,Young,matthew.young108@outlook.com,(614) 783-3463,,Web,Converted,True,2026-04-09,006GYLBI18A2VZPY9Q,PROP00001,Grand Walk,NY,CAMP0004202604,Northeast Corridor - google - Apr 2026,google,cpc,,,0059EFUYN8GV9BFW39,False,2026-04-09,
00Q0S1G9EU818UTYIW,2026-04-09T07:10:08.000+0000,2026-04-09T07:10:08.000+0000,Christopher,Robinson,christopher.robinson754@hotmail.com,(724) 766-2081,,Apartment List,New,False,,,PROP00001,Grand Walk,NY,CAMP0003202604,Northeast Corridor - apartment_list - Apr 2026,apartment_list,ils,,,005D7G4W8WRF1Y6UVP,False,2026-04-09,
00QXKQTQ36ZPMG6OOH,2026-04-09T07:59:39.000+0000,2026-04-09T07:59:39.000+0000,Kenneth,Lewis,kenneth.lewis133@outlook.com,(728) 790-4213,,Apartments.com,New,False,,,PROP00001,Grand Walk,NY,CAMP0002202604,Northeast Corridor - apartments.com - Apr 2026,apartments.com,ils,,,005RFYM8M4ODO9JTLA,False,2026-04-09,
00QR02TYAXY2NZ5X51,2026-04-09T17:43:29.000+0000,2026-04-09T17:43:29.000+0000,Jessica,Miller,jessica.miller654@yahoo.com,(849) 336-9727,,Apartment List,New,False,,,PROP00001,Grand Walk,NY,CAMP0003202604,Northeast Corridor - apartment_list - Apr 2026,apartment_list,ils,,,005YBJLWF4784NZD2A,False,2026-04-09,
00Q0423H7T6UDOJY6G,2026-04-09T22:11:58.000+0000,2026-04-09T22:11:58.000+0000,Amanda,Wilson,amanda.wilson27@icloud.com,(731) 469-7328,,Apartment List,Working,False,,,PROP00001,Grand Walk,NY,CAMP0003202604,Northeast Corridor - apartment_list - Apr 2026,apartment_list,ils,,,005XSRQO17KYQNLOC2,False,2026-04-09,
00Q8UALRY3IGWEYSU7,2026-04-09T22:10:03.000+0000,2026-04-09T22:10:03.000+0000,Sandra,Walker,sandra.walker220@icloud.com,(687) 945-9593,,Apartments.com,Working,False,,,PROP00001,Grand Walk,NY,CAMP0002202604,Northeast Corridor - apartments.com - Apr 2026,apartments.com,ils,,,005CYL68IUK1CCBBET,False,2026-04-09,
00QD2QLAW8F52K1D1G,2026-04-09T10:44:37.000+0000,2026-04-09T10:44:37.000+0000,Betty,Ramirez,betty.ramirez795@icloud.com,(626) 259-6315,,Apartments.com,New,False,,,PROP00001,Grand Walk,NY,CAMP0002202604,Northeast Corridor - apartments.com - Apr 2026,apartments.com,ils,,,0053F144WSMBH7LON0,False,2026-04-09,
00Q5VO1TK5EZS96KW0,2026-04-09T17:50:45.000+0000,2026-04-09T17:50:45.000+0000,Steven,Rodriguez,steven.rodriguez601@yahoo.com,(274) 442-3148,,Apartments.com,New,False,,,PROP00001,Grand Walk,NY,CAMP0002202604,Northeast Corridor - apartments.com - Apr 2026,apartments.com,ils,,,005OMFDMXQQF4SYAS6,False,2026-04-09,
00QX39ELLHLRSWP0YK,2026-04-09T19:24:37.000+0000,2026-04-09T19:24:37.000+0000,Dorothy,Harris,dorothy.harris172@outlook.com,(494) 414-2140,,Apartments.com,Working,False,,,PROP00001,Grand Walk,NY,CAMP0002202604,Northeast Corridor - apartments.com - Apr 2026,apartments.com,ils,,,005Z6UJW6PYE20BR3M,False,2026-04-09,
00QS2GT30GCHF4AKDN,2026-04-09T09:33:15.000+0000,2026-04-09T09:33:15.000+0000,Amanda,Martin,amanda.martin643@outlook.com,(695) 338-7208,,Web,Working,False,,,PROP00001,Grand Walk,NY,CAMP0012202604,Northeast Corridor - direct - Apr 2026,,,,,0055YKMUTXZMW7JYA8,False,2026-04-09,
00QBFD340NXIDB5Z8X,2026-04-04T10:53:00.000+0000,2026-04-04T10:53:00.000+0000,Christopher,Garcia,christopher.garcia594@hotmail.com,(731) 448-3140,,Zillow,Converted,True,2026-04-09,006HOGDPL4CKTF6LN8,PROP00002,Grand Crossing,NY,CAMP0001202604,Northeast Corridor - zillow - Apr 2026,zillow,ils,,,005GGEA7HZR3Y2CO7C,False,2026-04-09,
00QF31D2O25TG5JTV7,2026-04-09T21:22:43.000+0000,2026-04-09T21:22:43.000+0000,Jessica,Rodriguez,jessica.rodriguez945@icloud.com,(860) 283-6254,,Apartments.com,New,False,,,PROP00002,Grand Crossing,NY,CAMP0002202604,Northeast Corridor - apartments.com - Apr 2026,apartments.com,ils,,,005P9VMKNQADF5RYRL,False,2026-04-09,
